zfs_config,timestamp,pattern,config,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579597875768,randwrite,mach2_zfs_raidz1,32k,64G,16,180,0,0,0,0,11519361024,63991828,3906.747729,122.032844
raidz1,1579471066298,randwrite,mach2_zfs_raidz1,32k,64G,1,180,0,0,0,0,7955218432,44194184,43126.219444,1347.586111
raidz1,1579606945127,randwrite,mach2_zfs_raidz1,32k,64G,24,180,0,0,0,0,12198641664,67760443,2756.750496,86.098845
raidz1,1579615549842,randwrite,mach2_zfs_raidz1,32k,64G,28,180,0,0,0,0,12194709504,67731829,2358.637921,73.672977
raidz1,1579479201074,randwrite,mach2_zfs_raidz1,32k,64G,2,180,0,0,0,0,4471652352,24841685,12155.384937,379.779637
raidz1,1579487335990,randwrite,mach2_zfs_raidz1,32k,64G,4,180,0,0,0,0,6973685760,38735166,9459.380919,295.516713
raidz1,1579495942169,randwrite,mach2_zfs_raidz1,32k,64G,8,180,0,0,0,0,9053798400,50294688,6141.806834,191.888424
raidz1,1579504003483,randwrite,mach2_zfs_raidz1,4k,64G,12,180,0,0,0,0,796139520,4422579,356.953472,89.136343
raidz1,1579597333457,randwrite,mach2_zfs_raidz1,4k,64G,16,180,0,0,0,0,967254016,5372081,325.394508,81.304831
raidz1,1579470524131,randwrite,mach2_zfs_raidz1,4k,64G,1,180,0,0,0,0,916201472,5089781,4965.291667,1241.208333
raidz1,1579606402731,randwrite,mach2_zfs_raidz1,4k,64G,24,180,0,0,0,0,1016508416,5645575,226.870139,56.678125
raidz1,1579615007306,randwrite,mach2_zfs_raidz1,4k,64G,28,180,0,0,0,0,976285696,5420647,186.273737,46.519198
raidz1,1579478658838,randwrite,mach2_zfs_raidz1,4k,64G,2,180,0,0,0,0,400539648,2225071,1083.760779,270.821975
